Solution,combined data,preprocessed combined data
unable access admin common ka folder unable ace admin common ka folder adminmct mctkas planningmct commonmct,Unable to accesses Admin Common and other KAS folder Unable to acesses Admin Common and other KAS folder  1. admin.mct$ (\\172.17.1.46)  2.mct.kas$ (\\172.17.1.46)  3.planning.mct$ (\\172.17.1.46)  4.common.mct$ (\\172.17.1.46),unable access admin common ka folder unable ace admin common ka folder adminmct mctkas planningmct commonmct
request increase space shared drive request increase space shared drive centralaccounts,Request you to Increase the Space for Shared Drive Request you to Increase the space for shared drive.  Centralaccounts$(\\172.17.1.46)        ,request increase space shared drive request increase space shared drive centralaccounts
able access backup folder qc system system able access backup folder qc system system,Not able to access Backup folder from QC System in my system  Not able to access Backup folder from QC System in my system ,able access backup folder qc system system able access backup folder qc system system
setup home folder request setup home folder laptop,Setup Home Folder  Request you to setup the Home folder in my Laptop.,setup home folder request setup home folder laptop
home folder mapping laptop request map home folder laptop,Home Folder Mapping to Laptop Request to Map my home folder to laptop,home folder mapping laptop request map home folder laptop
home folder mapped home folder mapped,Home Folder not mapped Home folder to be mapped,home folder mapped home folder mapped
home folder kindly share home folder detail sap team also kindly map laptop,Home Folder Kindly share the Home Folder details of SAP Team.     Also kindly map in laptop. ,home folder kindly share home folder detail sap team also kindly map laptop
file missing pc file missing pc,File missing in pc File missing in pc,file missing pc file missing pc
google doc connecting google doc connecting,google doc not connecting  google doc not connecting ,google doc connecting google doc connecting
local folder available disk full kiranmathias user,Local folder is not available Disk is more than 90% full for kiran.mathias user,local folder available disk full kiranmathias user
backup connecting backup connecting,Backup not connecting Backup not connecting,backup connecting backup connecting
unable connect tfs unable connect tfs showing database full error,"Unable to connect to TFS Unable to connect to TFS. It is showing ""The database is full"" Error.",unable connect tfs unable connect tfs showing database full error
new storage connecting new storage connecting,new storage not connecting new storage not connecting,new storage connecting new storage connecting
pinout folder working pinout folder working,pinout folder not working pinout folder not working,pinout folder working pinout folder working
data ha transfer desktop wfh laptop data ha transfer desktop wfh laptop,All Data has to be transfer from Desktop to WFH laptop All Data has to be transfer from Desktop to WFH laptop.,data ha transfer desktop wfh laptop data ha transfer desktop wfh laptop
master access denied system master access denied,MASTER Access denied In my system MASTER access is denied ,master access denied system master access denied
cd write request write cd submit tender,CD write Request you to write the CD to submit the tender,cd write request write cd submit tender
scan folder access cant able view mupspl scan folder access since need send scan copy invoice working home,Scan Folder access I cant able to view the MUPSPL Scan folder access . Since i need to send the Scan copy of invoices to who are working from home.,scan folder access cant able view mupspl scan folder access since need send scan copy invoice working home
home folder access issue home folder access issue,home folder access issue home folder access issue,home folder access issue home folder access issue
mapping folder new folder server need mapped,Mapping Folder  New Folder in Server needs to be mapped ,mapping folder new folder server need mapped
production drive access please provide access production drive unit,Production Drive Access Please provide access to Production drive of Unit1,production drive access please provide access production drive unit
unable access drive need access drive priority http drivegooglecomdrivefolderslpasohaepfekalqyqsunizn uspsharing,Unable to access drive I need to access the below drive on priority.     https://drive.google.com/drive/folders/1lpAS_O31hAePfE08kal4QYqSUN45izn8?usp=sharing,unable access drive need access drive priority http drivegooglecomdrivefolderslpasohaepfekalqyqsunizn uspsharing
connect new storage harshavardhan system connect new storage harshavardhan system,Connect new storage on Harshavardhan System Connect new storage on Harshavardhan System,connect new storage harshavardhan system connect new storage harshavardhan system
folder required please insert one primacy mangalore copy folder system drive network drive,Folder Required Can you please insert one Primacy Mangalore BE Copy folder from my System D drive to my network drive,folder required please insert one primacy mangalore copy folder system drive network drive
